,image,min,max,mean,median,std
0,COVID-1,0,255,6.6256194002304225,2.0,11.883551442346484
1,COVID-1175,0,246,13.698068254270087,7.0,19.854433559461327
2,COVID-1613,0,255,11.024496370286686,5.0,18.379999138428808
3,COVID-948,0,255,6.195557096676771,2.0,11.063368257190096
4,COVID-790,0,255,8.59507164349392,4.0,14.156521876837505
5,COVID-3004,0,255,10.50621357702934,4.0,16.256065651169028
6,COVID-3010,0,255,10.184639992841243,4.0,16.018172903045024
7,COVID-1607,0,216,8.004239326182034,5.0,10.167470179040244
8,COVID-784,0,255,11.31400096195792,4.0,17.845450389590656
9,COVID-1161,0,252,8.31818436035391,4.0,13.235449040510884
10,COVID-2468,0,255,2.727161888569479,2.0,4.901000802896294
11,COVID-1149,0,255,11.090289817787273,5.0,18.248293162924547
12,COVID-2440,0,179,8.036241205355644,3.0,15.744040704803423
13,COVID-3038,0,245,11.694343463719646,4.0,18.272082885668038
14,COVID-2326,0,255,11.023288330108164,5.0,16.49201607635922
15,COVID-974,0,172,5.319996420621694,2.0,9.165546526124196
16,COVID-960,0,255,9.870124495251732,4.0,15.217340958979664
17,COVID-2332,0,236,8.920761512734757,4.0,15.956656216922145
18,COVID-2454,0,238,12.800751669444413,6.0,20.382381068747907
19,COVID-753,0,157,6.499289717117258,3.0,9.967574303632196
20,COVID-1808,0,252,9.578494647710876,4.0,17.186273867853167
21,COVID-747,0,177,8.066878446549815,4.0,13.20039525683274
22,COVID-2483,0,255,10.076878334694243,6.0,14.074499177963604
23,COVID-1834,0,223,7.935582376036062,4.0,14.229004924608972
24,COVID-1820,0,255,9.665674880594176,4.0,18.971954581501784
25,COVID-2497,0,239,10.596682363731949,2.0,21.47932495705136
26,COVID-2118,0,255,8.319325287189182,4.0,13.239716625618458
27,COVID-3206,0,150,11.370152459144752,6.0,15.291305995459936
28,COVID-592,0,178,7.461001554792452,4.0,11.524837228997866
29,COVID-1411,0,206,12.085994563819197,7.0,16.057382780831748
30,COVID-1377,0,144,9.798503372445499,6.0,13.171795822327297
31,COVID-3560,0,200,6.887216026666368,0.0,14.323752831655034
32,COVID-3574,0,231,9.658102258364,4.0,15.52624626709881
33,COVID-1363,0,198,6.038232234538763,3.0,9.225985941508123
34,COVID-586,0,120,8.73234080155703,5.0,11.423242375082884
35,COVID-1405,0,141,11.711546850706368,8.0,14.026238848254986
36,COVID-3212,0,255,10.852015078131117,5.0,15.459237434367306
37,COVID-2124,0,255,9.329090278632231,4.0,18.24037796774804
38,COVID-2642,0,255,7.432366528338609,4.0,10.46247039715103
39,COVID-3548,0,243,9.07194550396528,4.0,14.375200261278316
40,COVID-2656,0,255,10.647229896757308,3.0,23.236270732229354
41,COVID-2130,0,252,6.8878983456560885,3.0,14.322774598780489
42,COVID-1439,0,134,6.690618673169204,4.0,9.6688065609919
43,COVID-551,0,255,10.085849151575486,6.0,15.502801136412476
44,COVID-2865,0,255,10.975559557499357,6.0,16.2263665011132
45,COVID-237,0,248,10.573360476952159,6.0,14.778505126387875
46,COVID-223,0,255,10.283967740853011,4.0,17.39695814677786
47,COVID-2871,0,234,10.563651413295153,4.0,16.33920877929636
48,COVID-545,0,250,15.590149998322167,6.0,24.988975026989475
49,COVID-22,0,255,12.903312043489446,4.0,21.869817171994697
50,COVID-1388,0,252,7.538517466247582,4.0,12.643209955958907
51,COVID-2681,0,203,9.033422444939095,4.0,15.193065983043281
52,COVID-2859,0,255,7.751412176597578,4.0,12.247713285967178
53,COVID-2695,0,161,9.60010514423776,4.0,15.171256597789883
54,COVID-579,0,113,7.51566537287055,4.0,10.073169027151499
