,image,min,max,mean,median,std
0,COVID-1,0,255,145.89684679142292,154.0,51.81663222717359
1,COVID-1175,0,250,148.2142146061006,171.0,65.08137678261193
2,COVID-1613,0,255,173.9777183700406,181.0,54.04570469047384
3,COVID-948,0,249,133.25508663214057,147.0,44.188393600914736
4,COVID-790,0,255,138.80001342266866,153.0,53.86934806962638
5,COVID-3004,0,247,143.03413832060045,153.0,62.20493286619508
6,COVID-3010,0,236,139.30579076296686,146.0,54.20360367811626
7,COVID-1607,23,202,145.58235366494782,156.0,35.87976138438946
8,COVID-784,0,255,155.0863860583215,172.0,52.0209940472378
9,COVID-1161,0,254,136.55343899956375,138.0,75.35695208001171
10,COVID-2468,0,238,62.41384324560128,65.0,20.23298115285812
11,COVID-1149,0,247,142.27915795125335,150.0,51.684319794268106
12,COVID-2440,0,242,135.84680260847193,148.0,54.55856725962969
13,COVID-3038,0,239,137.1073701636447,150.0,67.5472680401735
14,COVID-2326,0,234,138.58648113555776,145.0,57.49141540413351
15,COVID-974,0,210,162.1388575071867,165.0,31.117951956377468
16,COVID-960,0,244,139.27695439648326,153.0,59.904941851610175
17,COVID-2332,0,210,143.81760830415766,153.0,45.89492273257984
18,COVID-2454,0,238,131.24381159047437,140.0,63.913764930041516
19,COVID-753,0,209,149.67193879263095,157.0,40.465600027045305
20,COVID-1808,0,255,163.40555474770974,184.0,76.04839103500268
21,COVID-747,0,221,156.41791478842518,167.0,44.06386815740608
22,COVID-2483,0,239,95.6424984060581,100.0,43.77771495473521
23,COVID-1834,0,226,154.48001700204696,159.0,39.88742457456568
24,COVID-1820,0,248,182.85543785863692,202.0,58.20294165406454
25,COVID-2497,0,239,125.60585452064295,146.0,87.78009558353801
26,COVID-2118,0,255,145.66497019049004,151.0,56.031819581546834
27,COVID-3206,0,249,161.72543931275936,178.0,63.65974745451254
28,COVID-592,0,184,109.65463473562936,116.0,43.41752981320519
29,COVID-1411,40,237,155.54856209662086,163.0,33.964365758565435
30,COVID-1377,38,213,148.03886981129966,151.0,23.116038278311024
31,COVID-3560,0,255,113.71266540642722,130.0,93.79878475580577
32,COVID-3574,0,248,150.40714309683338,168.0,58.94660161742644
33,COVID-1363,24,223,105.70505922752542,111.0,20.720835316285974
34,COVID-586,3,222,146.0363083186989,151.0,54.931115365513506
35,COVID-1405,28,221,144.13931611503227,148.0,37.08208120506907
36,COVID-3212,0,237,135.0693728258073,147.0,58.36795082751919
37,COVID-2124,0,249,140.91770785561684,169.0,77.82808985244134
38,COVID-2642,0,255,138.28205501057036,127.0,54.04526055112292
39,COVID-3548,0,238,147.53742128164114,164.0,59.75930542447454
40,COVID-2656,0,255,159.19409178868244,183.0,73.05488246016695
41,COVID-2130,0,218,156.90963188331227,160.0,38.449587050499325
42,COVID-1439,2,251,182.20297312110603,188.0,42.26394513367994
43,COVID-551,0,255,147.45719846534155,155.0,73.90819415908102
44,COVID-2865,0,255,167.7485598595094,173.0,48.946011800727824
45,COVID-237,48,251,135.6642543148287,142.0,44.44008224345917
46,COVID-223,0,255,146.58093309918235,158.0,63.13898292446572
47,COVID-2871,0,255,132.99020145188533,152.0,68.64807269198637
48,COVID-545,0,250,108.64370644623662,127.0,75.62914375387703
49,COVID-22,0,228,102.07846668381785,108.0,71.54705680547993
50,COVID-1388,0,255,162.46204181161283,162.0,73.80479470452919
51,COVID-2681,0,214,143.41809375734053,149.0,41.92632008986299
52,COVID-2859,0,225,131.14698940727732,136.0,44.056541162071746
53,COVID-2695,0,255,169.12344380935338,184.0,67.39803925566457
54,COVID-579,51,236,141.3282625473988,138.0,29.153012511379064
55,COVID-36,0,255,153.96219281663517,179.0,81.38952916760077
56,COVID-3372,0,238,116.93793134304985,132.0,69.00925904086354
57,COVID-1565,0,255,162.65563025022092,181.0,66.93108772966202
58,COVID-380,0,255,148.04571537231126,151.0,52.35146234308387
59,COVID-1203,0,222,148.48129215556872,155.0,47.82682542184637
60,COVID-3414,0,255,158.09263878480107,184.0,78.8199443427639
61,COVID-3400,0,239,105.88124293911702,105.0,65.9282761946548
62,COVID-394,3,255,135.10099439603584,133.0,32.75361385569919
63,COVID-1217,14,252,157.7328105949598,165.0,44.983228934921875
64,COVID-1571,0,255,138.7245332826255,150.0,56.122057318195075
65,COVID-3366,0,238,82.44179595306541,83.0,43.694834590295535
66,COVID-2078,0,225,137.61004910459616,153.0,55.18558399636786
67,COVID-1559,0,255,99.16232480621022,93.0,47.668344810729245
68,COVID-2050,0,212,152.36047695215936,156.0,33.699441749651086
69,COVID-2736,0,255,144.1766087627655,158.0,70.33516416891395
70,COVID-3428,0,252,140.2767418708963,162.0,80.69831311436269
71,COVID-2722,0,248,116.6822183197056,125.0,68.46149825442554
72,COVID-2044,0,255,130.86550486012462,137.0,76.22359100333108
73,COVID-425,0,255,135.98195769622265,141.0,55.55140050222973
74,COVID-2911,0,240,153.65831478395097,159.0,61.27329042880748
75,COVID-343,0,253,174.10779521481862,202.0,74.16948040805609
76,COVID-357,0,254,93.84719410297424,101.0,48.45417767931232
77,COVID-2905,0,255,156.5573986868156,185.0,87.48349952095793
78,COVID-431,0,229,136.08200131989574,140.0,51.88392373926095
