,image,min,max,mean,median,std
0,Lung_Opacity-129,0,255,7.280063981387233,3.0,12.90854300109396
1,Lung_Opacity-1060,0,255,13.463719645194125,4.0,24.251146898901858
2,Lung_Opacity-5206,0,255,6.633024239102471,3.0,11.974884633434039
3,Lung_Opacity-2569,0,255,10.313419312983076,4.0,16.14437703829383
4,Lung_Opacity-3677,0,255,7.5280030424715605,4.0,13.045662343675902
5,Lung_Opacity-4118,0,255,8.368161429961633,2.0,18.264987326134403
6,Lung_Opacity-14,0,255,8.498931779286584,2.0,15.05146934091594
7,Lung_Opacity-3111,0,255,12.451180635563361,5.0,22.008559144767474
8,Lung_Opacity-5560,0,255,9.003489893849062,4.0,16.365136967968542
9,Lung_Opacity-1706,0,255,5.770382881623248,3.0,9.985786713362222
10,Lung_Opacity-897,0,212,9.755752172794487,4.0,17.007937130706203
11,Lung_Opacity-883,0,255,8.861008266126777,4.0,15.351259058158586
12,Lung_Opacity-1712,0,239,9.585787631010838,4.0,16.603314482622462
13,Lung_Opacity-3105,0,255,11.208867909754925,4.0,19.54137895707351
14,Lung_Opacity-5574,0,255,5.625350946857417,2.0,12.227728229940501
15,Lung_Opacity-5212,0,255,10.35782597510095,4.0,18.04847233048382
16,Lung_Opacity-3663,0,255,6.723135087974407,4.0,11.674115593270479
17,Lung_Opacity-1074,0,255,7.00625272647957,3.0,13.530304223822505
18,Lung_Opacity-3893,0,168,9.400442948065457,4.0,16.106890125470503
19,Lung_Opacity-2555,0,158,10.490386013579267,5.0,14.988176302477857
20,Lung_Opacity-4124,0,251,8.544490553796937,4.0,15.227737042834498
21,Lung_Opacity-115,0,255,7.96936275880583,3.0,14.906393566941794
22,Lung_Opacity-673,0,255,11.983400633102539,4.0,22.867611504394684
23,Lung_Opacity-28,0,244,7.776322412500979,0.0,19.558589655597213
24,Lung_Opacity-4642,0,255,8.809129651793604,4.0,16.02514738788573
25,Lung_Opacity-2233,0,255,9.202548069932103,4.0,17.456628109132215
26,Lung_Opacity-4656,0,255,11.382725025447142,5.0,20.093178621660343
27,Lung_Opacity-3139,0,255,6.811243722106017,4.0,11.039260764029684
28,Lung_Opacity-2227,0,255,8.603595038086823,4.0,15.352423351710847
29,Lung_Opacity-5548,0,255,9.57847227659646,4.0,16.569630441419594
30,Lung_Opacity-667,0,255,7.627252491582868,3.0,13.954149849715543
31,Lung_Opacity-101,0,255,7.289347993870314,4.0,11.89892629602751
32,Lung_Opacity-1048,0,255,10.67159204035749,5.0,15.577146289331086
33,Lung_Opacity-3887,0,255,9.125848704153197,2.0,18.76546310437133
34,Lung_Opacity-2541,0,255,8.422623908009978,3.0,15.741894400055847
35,Lung_Opacity-4130,0,255,5.8236037628214445,3.0,10.757034282264394
36,Lung_Opacity-854,0,255,12.556906522298409,5.0,21.351213196532655
37,Lung_Opacity-4865,0,188,10.056520620574714,4.0,14.85063699018921
38,Lung_Opacity-4871,0,205,8.820908043534189,5.0,11.624765482473666
39,Lung_Opacity-1909,0,249,10.681703784074003,4.0,18.9971862009816
40,Lung_Opacity-698,0,255,9.87029227860986,5.0,15.59609049819884
41,Lung_Opacity-840,0,255,10.263654768962315,4.0,18.621074770383068
42,Lung_Opacity-3878,0,255,8.490654466952272,4.0,14.693638969324825
43,Lung_Opacity-3688,0,255,6.118085927450476,3.0,10.489076210778878
44,Lung_Opacity-3850,0,255,9.960693951969217,4.0,16.74561329013943
45,Lung_Opacity-2596,0,255,11.022963948949117,4.0,17.02157931643299
46,Lung_Opacity-4859,0,255,9.113309694522433,3.0,19.30714169516218
47,Lung_Opacity-4681,0,255,9.032986208207962,4.0,16.412666422788742
48,Lung_Opacity-1921,0,255,11.829912417087057,5.0,20.550477311769946
49,Lung_Opacity-868,0,255,9.021219002024585,4.0,15.577557311845084
50,Lung_Opacity-1935,0,255,11.496135389984453,4.0,20.14855759222051
51,Lung_Opacity-4695,0,254,9.672028277088623,4.0,15.91729645407798
52,Lung_Opacity-3844,0,255,9.923211149763425,4.0,15.976120536095271
53,Lung_Opacity-2582,0,255,6.210836567823626,4.0,9.704188981236365
54,Lung_Opacity-1504,0,229,8.220019910291832,4.0,14.758036679380982
55,Lung_Opacity-5762,0,255,6.452075480140043,4.0,12.91024610993207
56,Lung_Opacity-3313,0,255,3.765595463137996,2.0,7.7302321045151725
57,Lung_Opacity-3475,0,255,6.543953647050928,4.0,11.545777107082516
58,Lung_Opacity-5004,0,255,8.711144170646861,4.0,15.47065102121935
59,Lung_Opacity-1262,0,255,13.971107705730361,3.0,27.09014459082058
60,Lung_Opacity-1276,0,255,8.264035077907407,3.0,15.419926196757434
61,Lung_Opacity-3461,0,255,13.096833368754265,4.0,21.562520245102156
62,Lung_Opacity-5010,0,255,11.318083690339034,5.0,19.37892259821864
63,Lung_Opacity-5776,0,255,6.684600843391014,4.0,13.308912995889997
64,Lung_Opacity-2019,0,255,9.21095960895292,4.0,14.85858037589976
65,Lung_Opacity-3307,0,255,11.138197559311417,4.0,16.321205784141153
66,Lung_Opacity-4468,0,255,12.712866746456974,6.0,19.217473749013095
67,Lung_Opacity-459,0,255,8.862529501907137,4.0,15.635690262544355
68,Lung_Opacity-1510,0,219,4.995369179315667,3.0,8.028303977545809
69,Lung_Opacity-2031,0,252,6.441035335175222,4.0,9.95162481698997
70,Lung_Opacity-5986,0,255,11.408105054753303,5.0,17.521764118934815
71,Lung_Opacity-4440,0,242,10.181127727877763,5.0,16.02945591696104
72,Lung_Opacity-471,0,255,7.352881958814779,2.0,16.439613252212478
73,Lung_Opacity-1538,0,255,9.4491336785942,4.0,16.32923987352368
74,Lung_Opacity-317,0,255,7.815360007158756,4.0,14.173851152139864
75,Lung_Opacity-4326,0,255,9.156787955391998,3.0,17.608806278012867
76,Lung_Opacity-3449,0,245,6.864129036587958,4.0,11.275056832796169
77,Lung_Opacity-2757,0,232,12.750920012080401,6.0,18.968541507045234
78,Lung_Opacity-5038,0,255,7.602968646883144,4.0,13.418081196244756
79,Lung_Opacity-4332,0,240,6.140982763056342,3.0,11.063906614133804
80,Lung_Opacity-2743,0,255,12.39112537891075,4.0,24.468908224571997
