,image,min,max,mean,median,std
0,Lung_Opacity-129,0,215,111.85882708247111,113.0,60.049454760202956
1,Lung_Opacity-1060,0,255,83.13507678885024,89.0,58.29289337303093
2,Lung_Opacity-5206,0,233,108.42756792429616,107.0,63.04776820797791
3,Lung_Opacity-2569,0,255,77.6402836657308,66.0,57.1842515244686
4,Lung_Opacity-3677,0,231,111.54496034719969,116.0,53.94880859846588
5,Lung_Opacity-4118,0,248,118.01645395465376,145.0,73.84281949813716
6,Lung_Opacity-14,0,242,121.5268733011935,145.0,71.66219929492952
7,Lung_Opacity-3111,0,255,113.45204192346841,116.0,55.49042497996657
8,Lung_Opacity-5560,0,243,158.71990246194113,173.0,53.20271503945006
9,Lung_Opacity-1706,0,219,118.17193319985235,120.0,45.21023896734113
10,Lung_Opacity-897,0,249,126.91590698090626,131.0,55.023390207881775
11,Lung_Opacity-883,0,235,108.3110815315265,112.0,57.497455789847066
12,Lung_Opacity-1712,0,255,148.69669243073344,154.0,60.6256498424576
13,Lung_Opacity-3105,0,255,121.90649992729388,126.0,64.26338365905663
14,Lung_Opacity-5574,0,221,118.48854039663986,133.0,53.08392521662303
15,Lung_Opacity-5212,0,255,117.05770628963882,122.0,67.11515804216475
16,Lung_Opacity-3663,0,216,111.58202928378877,107.0,42.62325618813262
17,Lung_Opacity-1074,0,226,95.61963512712386,105.0,62.48187716736019
18,Lung_Opacity-3893,0,252,154.68896321070235,164.0,55.912044405981895
19,Lung_Opacity-2555,12,248,173.1066095457545,189.0,51.369905843468445
20,Lung_Opacity-4124,2,255,170.60569792284204,177.0,50.591580852208594
21,Lung_Opacity-115,0,246,155.73408574848156,160.0,54.52908465964809
22,Lung_Opacity-673,0,255,124.90783100860169,136.0,78.51710393696175
23,Lung_Opacity-28,0,246,66.20245858547443,0.0,82.00291552501247
24,Lung_Opacity-4642,0,255,113.69007058086599,115.0,47.03617200984569
25,Lung_Opacity-2233,0,255,129.48311540139372,136.0,58.149859371522915
26,Lung_Opacity-4656,0,216,124.34142794823325,128.0,40.22994391096828
27,Lung_Opacity-3139,0,220,114.87084037091307,118.0,54.3657495110645
28,Lung_Opacity-2227,0,243,135.7886824532164,134.0,55.145696461890644
29,Lung_Opacity-5548,0,244,115.1672688224964,129.0,73.12180744007351
30,Lung_Opacity-667,0,209,119.01593941902216,136.0,58.2181974256918
31,Lung_Opacity-101,0,195,118.7932573461147,123.0,42.925211638416435
32,Lung_Opacity-1048,4,244,169.2490911734768,180.0,52.90415959280499
33,Lung_Opacity-3887,0,246,164.12962942248967,173.0,62.38194588544591
34,Lung_Opacity-2541,0,255,151.18823055670518,159.0,55.690354480015
35,Lung_Opacity-4130,0,248,167.01819890157827,175.0,49.08681574094102
36,Lung_Opacity-854,0,244,121.75575217279449,126.0,53.80545966419316
37,Lung_Opacity-4865,6,244,162.00585004642005,173.0,53.50623905400928
38,Lung_Opacity-4871,0,249,126.68795651055358,119.0,78.77493812954911
39,Lung_Opacity-1909,0,245,128.97504502186777,139.0,66.89326188524747
40,Lung_Opacity-698,2,251,146.93306562566414,154.0,64.00724935669045
41,Lung_Opacity-840,0,245,132.1461728616011,143.0,65.68336659874349
42,Lung_Opacity-3878,0,255,131.42655003859016,144.0,58.256359326554524
43,Lung_Opacity-3688,0,212,110.8320600440711,117.0,52.27791586654114
44,Lung_Opacity-3850,0,253,140.83107571503675,147.0,68.19813284461189
45,Lung_Opacity-2596,0,255,109.10457377434257,103.0,75.61824431125814
46,Lung_Opacity-4859,5,247,159.19536694220423,176.0,61.19233542856614
47,Lung_Opacity-4681,0,227,124.43403317636268,133.0,58.693321777734276
48,Lung_Opacity-1921,0,255,115.75735170747531,125.0,64.7906423114685
49,Lung_Opacity-868,0,235,125.93598505609557,131.0,53.762199101408655
50,Lung_Opacity-1935,0,255,130.03504435073432,142.0,58.595492509594195
51,Lung_Opacity-4695,0,224,110.25399044753415,121.0,60.26205172697698
52,Lung_Opacity-3844,0,255,115.20119461750987,107.0,45.63351770811628
53,Lung_Opacity-2582,0,208,112.29586917372289,114.0,40.89721420288377
54,Lung_Opacity-1504,0,247,141.60810281764185,154.0,64.61252784996812
55,Lung_Opacity-5762,0,255,113.30066777776536,108.0,41.892787556656614
56,Lung_Opacity-3313,0,218,123.25027684254091,130.0,47.14426529565726
57,Lung_Opacity-3475,0,238,112.29367680451001,113.0,52.03552723069857
