,image,min,max,mean,median,std
0,Normal-6196,0,128,10.991925070160638,6.0,13.896442866472793
1,Normal-7288,0,232,11.485115614400579,6.0,16.17828189869325
2,Normal-1821,0,123,9.556119901516848,4.0,13.629269347912798
3,Normal-4781,0,109,6.934711867908611,4.0,9.538757968029719
4,Normal-4959,0,164,11.877670839000706,6.0,16.532057587346262
5,Normal-2496,0,255,10.559873280418726,5.0,16.449821147120044
6,Normal-3950,0,232,12.546512628914792,6.0,17.131315626828666
7,Normal-3788,0,188,9.782424545031938,5.0,14.117222622370747
8,Normal-6828,0,131,9.360376026583564,5.0,11.888300611121357
9,Normal-788,0,191,13.05926206504709,7.0,18.446061717486398
10,Normal-950,0,255,14.477660508600058,8.0,18.54740002907508
11,Normal-8805,0,172,11.892477746595272,6.0,17.328945211256627
12,Normal-944,0,206,16.165269193023537,10.0,21.289083874519388
13,Normal-8811,0,210,9.803240302336393,5.0,15.350503056288176
14,Normal-2482,0,148,13.80330917167404,9.0,15.711335942523506
15,Normal-3944,0,141,10.302095349597975,6.0,13.835111006729058
16,Normal-4795,0,255,13.240285119057868,5.0,21.09407778115329
17,Normal-6182,0,226,10.242006852499095,5.0,15.048982168968013
18,Normal-1835,0,169,13.176873676417417,8.0,16.618455651616067
19,Normal-4965,0,153,10.388767411029425,5.0,15.71171763920266
20,Normal-9299,0,159,12.057850243625282,6.0,16.438385356577484
21,Normal-8187,0,185,6.934040391866532,4.0,10.02791021572942
22,Normal-6814,0,188,11.300563006835281,6.0,16.154866201714928
23,Normal-8839,0,161,7.677261066441694,4.0,11.828916552012885
24,Normal-3978,0,255,12.82002720338837,7.0,17.274643699029237
25,Normal-6800,0,181,13.10957111619979,7.0,17.525298298852857
26,Normal-978,0,149,14.416642275442916,8.0,19.284848589689858
27,Normal-8193,0,255,9.443243057109898,5.0,14.107457371354265
28,Normal-1809,0,185,10.30219865360445,4.0,14.862000031665863
29,Normal-4971,0,186,11.888345586336323,6.0,17.24162353393192
30,Normal-2333,0,255,7.783853583788158,4.0,11.957959462602094
31,Normal-4742,0,158,10.011948830082126,5.0,14.998000766381397
32,Normal-8178,0,255,14.082333293159554,7.0,19.629927987595817
33,Normal-9,0,255,12.709113135104424,6.0,18.607390741598525
34,Normal-6155,0,255,13.642568137600936,7.0,20.22060021109913
35,Normal-9266,0,255,11.391935400561286,5.0,16.378686114453497
36,Normal-6633,0,144,11.51789741912157,6.0,14.362792070888217
37,Normal-993,0,242,15.596081334687764,8.0,21.909765184480474
38,Normal-9500,0,157,9.447857302732391,4.0,15.160909483089213
39,Normal-4024,0,190,11.119384996814793,6.0,15.382523558671249
40,Normal-2455,0,205,12.915686713383034,8.0,16.2226369237057
41,Normal-3993,0,255,12.963034383016822,7.0,17.81221605050354
42,Normal-4030,0,230,10.687574249754652,4.0,16.26121370622327
43,Normal-2441,0,135,8.402851190578675,4.0,12.332059168528167
44,Normal-3987,0,255,12.15423288166526,6.0,16.58246329432585
45,Normal-6627,0,190,9.478159811298015,5.0,12.83916165479984
46,Normal-9514,0,81,5.689037723179697,3.0,8.094344257048132
47,Normal-987,0,185,16.393088961966907,10.0,20.740790965493627
48,Normal-1148,0,236,20.167318055818598,11.0,26.256312572077576
49,Normal-7539,0,164,11.441504106334257,6.0,15.728374090251513
50,Normal-6141,0,255,7.365971660267557,4.0,13.97413344271941
51,Normal-9272,0,255,11.283087412406811,6.0,15.499126460457758
52,Normal-10059,0,224,9.268073896799297,4.0,14.476794930412627
53,Normal-5448,0,183,10.064599438714898,5.0,15.127882764955038
54,Normal-2327,0,243,6.495738709732959,3.0,10.51007382232256
55,Normal-3039,0,238,11.800537180833663,7.0,15.791102989154682
56,Normal-4756,0,255,11.288906871438163,4.0,17.82681567807448
57,Normal-8144,0,255,11.067388646889688,5.0,17.546257424756245
58,Normal-7277,0,140,9.23344983729619,4.0,13.175368108021699
59,Normal-1606,0,255,12.437526902085018,6.0,18.326785564682872
60,Normal-6169,0,174,10.084313286616966,5.0,13.82600765196075
61,Normal-5460,0,180,9.60825399011725,4.0,13.607176116658197
62,Normal-10071,0,108,6.931733269055285,4.0,8.735590271672079
63,Normal-3011,0,185,6.5889361409066645,3.0,10.653553313905338
64,Normal-4018,0,254,10.294795199807165,5.0,16.23191250280495
65,Normal-3777,0,199,8.925638332673335,5.0,12.112089224963704
66,Normal-2469,0,206,8.764449647905511,5.0,12.128952540955815
67,Normal-5306,0,255,12.073311409927515,6.0,16.314923106344047
68,Normal-1160,0,196,13.607789122088118,8.0,18.60869951203825
69,Normal-777,0,189,11.715294158158434,6.0,16.34161663225937
70,Normal-8622,0,255,13.12282846369725,7.0,17.380326574171875
71,Normal-7511,0,143,11.654981835712196,7.0,14.710148803896667
72,Normal-9528,0,222,13.366505397634338,8.0,18.122903013483754
73,Normal-1174,0,255,15.950913379590572,10.0,20.574129292155273
74,Normal-763,0,220,16.38036535183623,9.0,21.9005198781789
75,Normal-8636,0,255,9.56743169022572,4.0,13.775961201907847
76,Normal-7505,0,255,12.11657857130559,8.0,15.104510516798008
77,Normal-3763,0,255,8.124515762469654,4.0,12.906635837259314
78,Normal-5312,0,218,10.086551540090563,6.0,14.345213852452002
79,Normal-5474,0,138,10.978667722663177,6.0,14.458674317423087
80,Normal-10065,0,188,14.087016408119695,8.0,18.78354455635773
81,Normal-3005,0,163,11.353626831493948,6.0,15.81115954898409
82,Normal-8150,0,201,10.49566984039531,6.0,14.580777754367608
83,Normal-7263,0,255,13.1007558409807,7.0,17.589210334396608
84,Normal-1612,0,255,13.191542845336684,7.0,18.493809954306762
85,Normal-7934,0,148,13.392486355262479,8.0,17.251957833457706
86,Normal-9919,0,147,11.457877791360342,7.0,14.589821265459626
87,Normal-2694,0,175,11.903703448632083,6.0,16.09010950855579
88,Normal-4583,0,173,10.191628932008747,6.0,13.909829703235374
89,Normal-12,0,177,11.845612162325029,6.0,16.369769807437283
90,Normal-5845,0,180,5.258449406862829,2.0,7.5047977009681
91,Normal-6394,0,156,12.135930855185,6.0,16.847117818690045
92,Normal-6380,0,166,12.194641965530897,6.0,17.11110377187263
93,Normal-5689,0,255,10.709405829789432,6.0,15.122574629283424
94,Normal-4597,0,138,7.163685198257606,3.0,12.166698849154066
95,Normal-5851,0,196,5.974759387751588,3.0,9.406637171305277
96,Normal-2858,0,205,8.842495824796405,4.0,12.709711650203516
97,Normal-2680,0,197,12.572700194555878,6.0,17.382731406131068
98,Normal-1389,0,173,10.494895060346757,5.0,15.451611789337836
99,Normal-7920,0,160,11.340025137308242,6.0,15.621950830975592
100,Normal-2870,0,140,9.459134656772438,4.0,13.449859926723454
101,Normal-7908,0,161,11.763829823866669,7.0,14.850082394394217
102,Normal-9925,0,172,13.06604569480553,7.0,18.12163536503096
103,Normal-8385,0,200,12.997641225185516,6.0,17.10456523983175
104,Normal-5879,0,134,10.98629500180782,5.0,15.49948171670146
105,Normal-8391,0,162,9.456758664623543,4.0,13.839488481322894
106,Normal-9931,0,201,12.32540762039221,7.0,16.510472926536394
107,Normal-2864,0,109,6.912174377162928,4.0,9.340184446614005
108,Normal-5138,0,209,11.063359790637213,6.0,16.10422080880848
109,Normal-2657,0,166,11.258535493534891,5.0,16.21683883064818
110,Normal-3549,0,255,9.992562111533893,5.0,13.891660578171397
111,Normal-4226,0,168,10.890738795819631,5.0,15.67093773295806
112,Normal-549,0,162,14.976567207864878,8.0,19.647841005294033
113,Normal-9702,0,255,9.891048707839053,4.0,16.786138999063485
114,Normal-6431,0,138,11.634200513076566,7.0,14.437035442127286
115,Normal-9064,0,153,11.191095194641965,6.0,15.906094431331883
116,Normal-6357,0,194,11.385031249461958,6.0,16.41345590847311
117,Normal-1438,0,161,11.789707477488335,7.0,14.555156349297949
118,Normal-7049,0,155,10.02147001601212,6.0,13.374765608084289
119,Normal-4540,0,203,9.367917219056146,4.0,13.653362235033326
120,Normal-5886,0,255,13.499406001962775,8.0,18.480795952483444
121,Normal-2131,0,143,11.06227509856924,6.0,14.657940344648292
122,Normal-4554,0,128,7.322291282863587,4.0,10.147054990414551
123,Normal-5892,0,135,7.787641397358861,4.0,11.436967908079588
124,Normal-2125,0,220,13.31440574370276,7.0,17.637957079679982
125,Normal-9070,0,255,13.533616845439989,6.0,19.740936175814777
126,Normal-6343,0,140,10.388905149704723,6.0,13.614124584058265
127,Normal-8408,0,193,12.739932163702415,7.0,17.475060592945038
128,Normal-9716,0,148,12.135069988464386,6.0,16.142018221361003
129,Normal-6425,0,255,7.433136481809886,4.0,11.095543209122738
130,Normal-2643,0,255,14.613711885125944,8.0,19.26480777602815
131,Normal-4232,0,149,9.942304712384429,6.0,12.967740157540895
132,Normal-7713,0,255,12.100549232967753,6.0,18.615313436207746
133,Normal-8420,0,202,12.378764139735885,7.0,16.34471413216376
134,Normal-575,0,213,13.697904650402025,8.0,18.231973922430225
135,Normal-1362,0,210,13.255952893373047,8.0,18.089002579737933
136,Normal-5104,0,236,12.561560579191129,7.0,17.607066287531953
137,Normal-3575,0,210,7.025137308241938,4.0,11.933584926255904
138,Normal-3213,0,176,13.40748265353558,7.0,17.30322253508387
139,Normal-5662,0,255,9.078442175582376,4.0,13.6501989722504
140,Normal-9058,0,214,11.139425974070694,6.0,15.423934161530623
141,Normal-1404,0,157,7.460942476885728,4.0,11.466812034776035
142,Normal-213,0,255,17.981336409497082,10.0,23.76690745972939
143,Normal-7075,0,210,13.679154973227044,8.0,18.34488781804803
144,Normal-8346,0,166,9.713107556688074,4.0,15.15263418721447
145,Normal-1410,0,204,12.694874399545462,8.0,16.668989529363845
146,Normal-207,0,251,14.364508186842514,8.0,20.3802812796181
147,Normal-7061,0,250,13.32826569790465,8.0,17.587121773091848
148,Normal-8352,0,171,11.67046021934884,6.0,16.859944233001606
149,Normal-4568,0,159,10.42375303455519,5.0,14.993928851956936
150,Normal-3207,0,179,10.534477712160603,5.0,15.143832828563388
151,Normal-2119,0,210,11.704567758819579,6.0,16.645815432160504
152,Normal-5676,0,152,9.217575454968062,4.0,13.247988301585195
153,Normal-5110,0,255,6.769236066872127,4.0,9.890803812214951
154,Normal-3561,0,128,7.119849864843925,4.0,10.366783525742026
155,Normal-7707,0,167,14.468862450715381,8.0,19.35403596081063
156,Normal-8434,0,97,6.43527143127701,3.0,9.500723692164124
157,Normal-561,0,171,13.998880873263202,7.0,19.628231016072636
158,Normal-1376,0,183,15.70577297222844,9.0,20.370825293469085
159,Normal-6419,0,255,10.509891358619859,5.0,15.86539934227669
160,Normal-7698,0,255,11.266472684698956,6.0,16.17772073358279
161,Normal-6586,0,203,9.676813415746974,4.0,14.295420885425933
162,Normal-7840,0,209,11.553244606669995,6.0,16.638159554238012
163,Normal-4391,0,128,8.173946729567328,4.0,11.370327069598927
164,Normal-2938,0,149,9.31967424803292,4.0,14.22628471074388
165,Normal-5931,0,252,10.4844441383585,6.0,14.198683998312957
166,Normal-3398,0,224,9.516141251011518,4.0,13.97634991978363
167,Normal-2086,0,234,9.052099653931577,4.0,13.320493717333639
168,Normal-398,0,191,11.988412733940532,6.0,17.320654796733066
169,Normal-5925,0,156,12.271448494344106,7.0,16.160899596365777
170,Normal-2092,0,94,6.604190699195951,3.0,9.221466586978956
171,Normal-4385,0,226,9.148516726640382,5.0,12.339028710953134
172,Normal-9879,0,145,11.494585148327335,6.0,16.607472397800134
173,Normal-6592,0,247,9.91851035622665,5.0,14.332777481977937
174,Normal-7854,0,168,9.917322360152202,6.0,13.24428223410846
175,Normal-2904,0,155,10.58588867271569,5.0,14.37900323861338
176,Normal-9851,0,158,10.659578864000276,5.0,14.734694679849907
177,Normal-8597,0,211,8.831976033470498,4.0,12.933816463347043
178,Normal-9689,0,205,10.968922711385824,6.0,15.826284733560401
179,Normal-5919,0,246,10.497236617826829,5.0,15.427923698368858
180,Normal-9845,0,190,7.458445963395947,4.0,11.673251556574876
181,Normal-8583,0,129,9.047795320328508,4.0,12.689406806288597
182,Normal-7868,0,117,7.31380313699833,4.0,9.741996889799092
183,Normal-2910,0,133,10.930803532997022,6.0,14.46265836914084
