,image,min,max,mean,median,std
0,Normal-6196,19,242,145.58451128596272,151.0,56.231695739712066
1,Normal-7288,24,247,143.3891634097209,150.0,55.17566587211143
2,Normal-1821,70,243,175.80651159587472,190.0,41.99841137925084
3,Normal-4781,0,160,109.8923744425888,110.0,26.579796871029988
4,Normal-4959,0,245,116.12105507825278,117.0,60.178260852056255
5,Normal-2496,0,255,138.44682426266766,144.0,42.37630034611943
6,Normal-3950,0,233,121.78270002238253,119.0,56.74809436473071
7,Normal-3788,0,196,117.41554036604053,122.0,39.86593982843061
8,Normal-6828,8,242,160.73070367245742,163.0,51.85341010115428
9,Normal-788,41,239,148.54320690070764,151.0,34.097861199755634
10,Normal-950,0,255,103.40419414266283,107.0,47.67897409219751
11,Normal-8805,0,240,128.3289199566123,133.0,65.15893535435718
12,Normal-944,0,250,134.2968096279334,139.0,51.28653236512434
13,Normal-8811,29,237,147.69439231418193,157.0,49.579062027554684
14,Normal-2482,5,241,120.53995282450371,121.0,56.84563308272921
15,Normal-3944,4,242,165.61915256280022,172.0,45.4317658088865
16,Normal-4795,0,255,126.16025894870955,142.0,76.11888178147987
17,Normal-6182,1,210,111.39262409393778,114.0,46.18922318119633
18,Normal-1835,0,232,113.31829686127993,113.0,54.32241674263409
19,Normal-4965,2,225,138.00246207882097,142.0,44.04727856974103
20,Normal-9299,0,243,122.86284671407172,130.0,65.88779517967878
21,Normal-8187,0,178,113.58096451507377,119.0,26.834240004209168
22,Normal-6814,0,244,125.74502849468846,127.0,61.99160141623188
23,Normal-8839,3,255,165.37705962362907,171.0,34.84312747457093
24,Normal-3978,9,233,119.0957111619979,125.0,57.43651663639714
25,Normal-6800,0,238,123.5993526282261,125.0,58.766121912937166
26,Normal-978,41,250,163.73853755961503,167.0,37.545627374420015
27,Normal-8193,0,251,146.2173516296207,145.0,54.880813799548335
28,Normal-1809,54,251,177.53945352180574,190.0,50.79957464909963
29,Normal-4971,0,216,122.91899244159019,124.0,46.47576789859102
30,Normal-2333,5,255,140.9527556343727,146.0,37.988251966023824
31,Normal-4742,7,239,130.95607857991425,137.0,58.19279349536436
32,Normal-8178,0,240,112.56359222465179,111.0,58.48928794217522
33,Normal-9,0,242,126.11172328300133,128.0,70.49030704621387
34,Normal-6155,0,255,103.69487439954547,94.0,55.688590395994446
35,Normal-9266,7,251,160.82510631704,167.0,43.24881743509778
36,Normal-6633,0,238,126.74310015323428,127.0,59.63480710493642
37,Normal-993,0,254,140.83137342676608,148.0,48.40616353979177
38,Normal-9500,2,229,145.03598422892168,155.0,42.33532928003399
39,Normal-4024,17,241,139.88819063032662,145.0,58.0393110563708
40,Normal-2455,0,244,124.93299013446739,121.0,58.186693022925674
41,Normal-3993,5,255,104.99740018250374,95.0,56.661237805834745
42,Normal-4030,41,242,165.18661868769476,182.0,58.05910107803453
43,Normal-2441,59,203,148.16979735197395,157.0,34.952334670406785
44,Normal-3987,15,246,135.29980544412115,134.0,60.39034975801697
