,image,min,max,mean,median,std
0,Viral Pneumonia-770,0,171,8.680305589422938,4.0,14.785604735076713
1,Viral Pneumonia-1186,0,255,10.697956398698,4.0,17.763693513635747
2,Viral Pneumonia-1192,0,255,10.497097347904386,4.0,16.54982363028403
3,Viral Pneumonia-764,0,162,8.835438082348071,4.0,14.457011009772765
4,Viral Pneumonia-994,0,255,8.255120188812207,4.0,12.986250936213342
5,Viral Pneumonia-980,0,255,10.56550821579177,5.0,15.752840178972688
6,Viral Pneumonia-758,0,255,9.667498126419167,5.0,14.360766299159465
7,Viral Pneumonia-1145,0,250,7.073086430800551,3.0,13.20056613520327
8,Viral Pneumonia-1151,0,254,13.22986320063534,6.0,20.540232907582915
9,Viral Pneumonia-957,0,255,12.838625966152504,6.0,19.645260860547623
10,Viral Pneumonia-1179,0,255,8.974049507276204,3.0,16.208270835491984
11,Viral Pneumonia-943,0,255,14.296853502757239,7.0,20.576879196323702
12,Viral Pneumonia-214,0,255,11.482858133577924,4.0,19.96169920728744
13,Viral Pneumonia-572,0,255,10.329437030905694,4.0,19.35571954058689
14,Viral Pneumonia-566,0,255,10.580306707978657,5.0,16.57072129514742
15,Viral Pneumonia-200,0,255,10.042672900750551,4.0,16.544482944983955
16,Viral Pneumonia-228,0,136,8.856254404313152,4.0,13.240623042736983
17,Viral Pneumonia-599,0,255,8.898927305063701,4.0,13.352583314076975
18,Viral Pneumonia-360,0,224,8.861959038489502,4.0,14.510197328690378
19,Viral Pneumonia-406,0,255,8.643672889564993,3.0,15.675487469687601
20,Viral Pneumonia-412,0,255,9.980917439402244,4.0,16.65193089903077
21,Viral Pneumonia-374,0,185,13.681826825203297,6.0,19.585342696207828
22,Viral Pneumonia-348,0,255,7.486940861959038,4.0,12.15685664433193
23,Viral Pneumonia-1233,0,255,14.091408373508127,6.0,21.173729207332585
24,Viral Pneumonia-15,0,225,9.424861019451685,4.0,13.971386669240804
25,Viral Pneumonia-1227,0,255,10.18649679533786,4.0,17.22878707612345
