,image,min,max,mean,median,std
0,Viral Pneumonia-770,0,201,139.35639422377827,150.0,43.01032193363591
1,Viral Pneumonia-1186,0,253,121.60941152783526,138.0,67.2299837705615
2,Viral Pneumonia-1192,0,255,92.91600765092113,101.0,53.9048582445785
3,Viral Pneumonia-764,0,210,130.47112448406617,146.0,54.5647340852154
4,Viral Pneumonia-994,0,206,131.08135255757765,147.0,53.91933987760876
5,Viral Pneumonia-980,0,255,102.11296294224897,99.0,45.066041923666624
6,Viral Pneumonia-758,0,236,134.2004339996197,142.0,51.189510279045265
7,Viral Pneumonia-1145,0,250,150.02633080166888,166.0,48.79487988380142
8,Viral Pneumonia-1151,0,255,164.82316752609032,182.0,52.809296076111934
9,Viral Pneumonia-957,0,252,109.09908166575318,117.0,63.919686797348994
10,Viral Pneumonia-1179,0,255,156.35291551548642,181.0,65.84390485812669
11,Viral Pneumonia-943,0,253,121.04357893088444,126.0,62.68974849310571
12,Viral Pneumonia-214,0,255,130.31656245455866,145.0,62.68004181408777
13,Viral Pneumonia-572,0,255,122.79312311942819,142.0,67.6871814532289
14,Viral Pneumonia-566,0,255,149.56679455487074,155.0,52.63898791161067
15,Viral Pneumonia-200,0,255,131.33492913949507,150.0,61.3500048219391
16,Viral Pneumonia-228,1,200,121.17748123622778,129.0,47.89485279032078
17,Viral Pneumonia-599,0,244,107.5505978680328,111.0,47.289456978933956
18,Viral Pneumonia-360,0,209,137.53668303486538,155.0,54.27354820730491
19,Viral Pneumonia-406,0,255,114.53210814196709,134.0,69.20307413692844
20,Viral Pneumonia-412,0,254,124.77387277547231,137.0,55.60808894859947
21,Viral Pneumonia-374,0,248,152.29296092884866,168.0,65.16775454879154
22,Viral Pneumonia-348,0,241,102.55166049596761,103.0,38.84698926016913
23,Viral Pneumonia-1233,0,254,130.07546895448596,136.0,63.55713210496939
24,Viral Pneumonia-15,0,187,77.19191060502679,68.0,36.523722242358424
25,Viral Pneumonia-1227,0,255,111.53268979094193,118.0,57.0320071899897
26,Viral Pneumonia-29,1,234,106.46646010671022,102.0,49.51929273097314
27,Viral Pneumonia-604,0,217,120.23118309638595,128.0,54.16020652371258
28,Viral Pneumonia-162,11,220,152.69040614758225,166.0,43.20410024702745
29,Viral Pneumonia-176,0,242,122.60793503428373,135.0,68.39641040252046
30,Viral Pneumonia-610,44,200,147.89297658862876,154.0,32.645971319699974
31,Viral Pneumonia-638,0,253,114.11313072560709,116.0,54.34426886180338
32,Viral Pneumonia-1031,0,255,141.48341741143835,162.0,73.02884037378583
33,Viral Pneumonia-1025,0,255,143.5945123656335,161.0,74.57480518897202
34,Viral Pneumonia-823,0,217,130.80830192056018,150.0,56.868041915660235
35,Viral Pneumonia-1019,0,255,113.34548830549994,132.0,69.59353551988836
36,Viral Pneumonia-189,0,243,121.21064641335109,131.0,60.78655675490281
37,Viral Pneumonia-837,0,216,118.34150624713371,134.0,66.94667638440485
38,Viral Pneumonia-188,0,255,130.56293553763382,142.0,65.10292434182405
39,Viral Pneumonia-1018,0,255,128.577588617577,140.0,61.06514886649068
40,Viral Pneumonia-836,0,255,132.11829845303743,153.0,71.75178665133387
41,Viral Pneumonia-822,0,204,119.48393194706995,137.0,61.839385401100586
42,Viral Pneumonia-1024,0,255,115.35760226395678,126.0,67.36096742469081
43,Viral Pneumonia-1030,0,255,125.83070659164886,143.0,77.70456661457098
44,Viral Pneumonia-639,0,252,101.54198498898222,94.0,52.58563330506947
45,Viral Pneumonia-177,0,252,109.0787798794197,116.0,63.4125485116882
46,Viral Pneumonia-611,0,251,82.08229214438317,77.0,34.412796013798356
47,Viral Pneumonia-605,0,214,135.6253397613002,154.0,52.56875356162605
48,Viral Pneumonia-163,0,196,88.17902484312256,69.0,49.847218363196355
49,Viral Pneumonia-28,0,255,115.92880392836769,126.0,61.75652561490184
50,Viral Pneumonia-14,4,204,112.46444670641267,112.0,52.42120658674977
51,Viral Pneumonia-1226,0,227,128.47746669500341,140.0,53.5425559960286
52,Viral Pneumonia-1232,0,239,107.08380219460632,114.0,60.02301007253808
53,Viral Pneumonia-349,0,226,106.99164438876522,106.0,43.43688032835457
54,Viral Pneumonia-413,0,255,104.75444346260109,117.0,59.513127956446304
55,Viral Pneumonia-375,0,255,160.09668795651055,170.0,44.81913784490868
56,Viral Pneumonia-361,3,206,113.76970056263353,110.0,50.26705110869293
57,Viral Pneumonia-407,0,255,124.6018612767195,144.0,69.40291336472256
58,Viral Pneumonia-598,4,219,146.62823682061722,159.0,43.99496367888854
59,Viral Pneumonia-229,0,252,110.0011856690641,126.0,63.79894345000602
60,Viral Pneumonia-567,0,255,108.70160289034798,126.0,73.53981987251137
61,Viral Pneumonia-201,4,213,155.10337691972126,167.0,45.52115008781855
62,Viral Pneumonia-215,0,255,93.00611849979306,102.0,59.660110777184215
63,Viral Pneumonia-573,0,253,131.59915437187504,145.0,63.73545797096068
64,Viral Pneumonia-942,0,255,115.25774879475621,125.0,51.91907746858789
65,Viral Pneumonia-956,0,255,109.47951365197257,119.0,49.89082999520074
66,Viral Pneumonia-1178,0,225,127.02167760987014,141.0,66.3532207357036
